Ticker,EvalDate,Price,EntryTimeET,Change%,RelVol(TimeAdj63d),Resistance,TP,RR_to_Res,RR_to_TP,SupportType,SupportPrice,Risk$,TPReward$,TPReward%,ResReward$,ResReward%,DailyATR,DailyCap,Hist21d_PassCount,Hist21d_Max%,Hist21d_Examples,ResLookbackDays,Prices,Session,EntrySrc,VolSrc,OptExpiry,BuyK,SellK,Width,DebitMid,DebitCons,MaxProfitMid,MaxProfitCons,RR_Spread_Mid,RR_Spread_Cons,BreakevenMid,PricingNote,run_date
AES,2025-09-04,13.23,2025-09-04 09:41:55 ET,0.02,1.56,13.66,13.45,5.85,2.92,PivotLow,13.16,0.073,0.2135,1.61,0.427,3.23,0.3271,6.87,75,37.34,2025-06-23:+37.34%; 2025-06-20:+32.66%; 2025-06-24:+31.81%,21,"12.97,13.49,13.49,13.34,13.36,13.48,13.54,13.41,13.23,13.23",OPEN,daily_partial_close,daily_partial,2025-10-03,12.5,13.5,1.0,0.0,0.0,1.0,1.0,,,12.5,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
KDP,2025-09-04,29.36,2025-09-04 09:43:47 ET,0.93,5.23,35.94,32.65,9.97,4.98,PivotLow,28.7,0.66,3.29,11.21,6.58,22.41,0.94,19.74,1,12.17,2025-01-24:+12.17%; 2025-01-23:+9.89%; 2025-01-22:+8.06%,21,"35.2,35.14,31.1,28.95,29.72,29.29,29.09,28.91,29.09,29.36",OPEN,daily_partial_close,daily_partial,2025-10-17,28.0,33.0,5.0,0.0,0.0,5.0,5.0,,,28.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
CNP,2025-09-04,37.83,2025-09-04 09:42:29 ET,0.55,1.65,39.39,38.61,3.57,1.79,SwingLow21,37.39,0.4375,0.7812,2.07,1.5625,4.13,0.4814,10.11,137,12.42,2024-11-01:+12.42%; 2024-10-30:+11.48%; 2024-11-04:+11.3%,21,"38.0,38.05,37.7,37.7,37.73,37.48,37.71,37.94,37.62,37.83",OPEN,daily_partial_close,daily_partial,2025-10-17,38.0,39.0,1.0,0.0,0.0,1.0,1.0,,,38.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
EXC,2025-09-04,43.96,2025-09-04 09:43:09 ET,1.34,1.51,45.78,44.87,20.25,10.12,PivotLow,43.87,0.0899,0.91,2.07,1.8201,4.14,0.5857,12.3,98,14.19,2025-01-13:+14.19%; 2025-01-10:+13.57%; 2025-01-14:+13.32%,21,"44.64,44.96,44.6,44.42,44.39,43.76,43.68,43.37,43.38,43.96",OPEN,daily_partial_close,daily_partial,2025-10-17,40.0,45.0,5.0,0.0,0.0,5.0,5.0,,,40.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
CSCO,2025-09-04,67.75,2025-09-04 09:42:34 ET,0.11,1.68,72.55,70.15,3.77,1.88,PivotLow,66.47,1.275,2.4025,3.55,4.805,7.09,1.1307,23.745,113,16.65,2025-04-21:+16.65%; 2025-04-22:+14.83%; 2025-04-17:+14.63%,21,"67.02,67.32,67.14,68.39,68.44,69.43,69.09,67.8,67.67,67.75",OPEN,daily_partial_close,daily_partial,2025-10-03,65.0,70.0,5.0,0.0,0.0,5.0,5.0,,,65.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
KO,2025-09-04,69.43,2025-09-04 09:42:37 ET,0.63,1.76,71.71,70.57,6.07,3.04,PivotLow,69.05,0.3762,1.1419,1.64,2.2838,3.29,0.9526,20.0043,52,15.49,2025-01-22:+15.49%; 2025-01-24:+15.46%; 2025-01-23:+14.72%,21,"70.66,70.13,68.93,68.73,68.83,68.36,68.99,69.06,68.99,69.43",OPEN,daily_partial_close,daily_partial,2025-10-03,66.0,71.0,5.0,0.0,0.0,5.0,5.0,,,66.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
EVRG,2025-09-04,72.0,2025-09-04 09:43:07 ET,0.85,10.62,73.97,72.99,2.32,1.16,PivotLow,71.15,0.85,0.985,1.37,1.97,2.74,0.7838,16.4588,117,10.55,2025-01-10:+10.55%; 2025-01-13:+9.49%; 2025-01-29:+9.35%,21,"72.54,72.3,71.65,71.76,72.06,71.21,71.26,71.27,71.39,72.0",OPEN,daily_partial_close,daily_partial,2025-10-17,70.0,72.5,2.5,0.0,0.0,2.5,2.5,,,70.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
NKE,2025-09-04,75.26,2025-09-04 09:44:15 ET,0.7,4.72,80.17,77.72,37.77,18.88,PivotLow,75.13,0.13,2.455,3.26,4.91,6.52,1.6717,35.1048,76,26.7,2025-06-26:+26.7%; 2025-06-23:+26.28%; 2025-06-20:+26.09%,21,"76.18,78.38,79.17,78.65,78.06,77.92,77.37,74.29,74.74,75.26",OPEN,daily_partial_close,daily_partial,2025-10-03,73.0,78.0,5.0,0.0,0.0,5.0,5.0,,,73.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
EBAY,2025-09-04,91.19,2025-09-04 09:42:59 ET,1.14,1.5,101.15,96.17,3.24,1.62,ATR1.5x,88.12,3.075,4.98,5.46,9.96,10.92,2.05,43.05,84,31.14,2025-07-17:+31.14%; 2025-07-15:+30.5%; 2025-07-16:+28.03%,21,"98.86,99.22,98.55,94.64,93.67,92.8,90.61,89.89,90.16,91.19",OPEN,daily_partial_close,daily_partial,2025-10-03,91.0,97.0,6.0,0.0,0.0,6.0,6.0,,,91.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
WEC,2025-09-04,107.88,2025-09-04 09:45:18 ET,0.92,4.1,111.9,109.89,2.71,1.36,PivotLow,106.39,1.485,2.0125,1.87,4.025,3.73,1.3571,28.5,100,9.95,2025-01-10:+9.95%; 2025-01-14:+9.73%; 2025-01-06:+9.41%,21,"108.48,108.54,106.96,107.16,107.68,106.31,106.51,106.02,106.89,107.88",OPEN,daily_partial_close,daily_partial,2025-10-17,105.0,110.0,5.0,0.0,0.0,5.0,5.0,,,105.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid,2025-09-04
