Ticker|EvalDate|Price|EntryTimeET|Change%|RelVol(TimeAdj63d)|Resistance|TP|RR_to_Res|RR_to_TP|SupportType|SupportPrice|Risk$|TPReward$|TPReward%|ResReward$|ResReward%|DailyATR|DailyCap|Hist21d_PassCount|Hist21d_Max%|Hist21d_Examples|ResLookbackDays|Prices|Session|EntrySrc|VolSrc|OptExpiry|BuyK|SellK|Width|DebitMid|DebitCons|MaxProfitMid|MaxProfitCons|RR_Spread_Mid|RR_Spread_Cons|BreakevenMid|PricingNote
KVUE|2025-09-05|20.65|2025-09-05 09:50:01 ET|0.51|1.54|21.96|21.3|6.12|3.06|PivotLow|20.43|0.215|0.6575|3.18|1.315|6.37|0.3571|7.5|70|20.81|2025-02-06:+20.81%; 2025-02-07:+16.4%; 2025-02-05:+12.92%|21|21.61,21.19,20.79,20.75,20.54,20.71,20.78,20.45,20.54,20.65|OPEN|daily_partial_close|daily_partial|2025-10-03|19.0|21.5|2.5|0.0|0.0|2.5|2.5|||19.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
PFE|2025-09-05|24.66|2025-09-05 09:50:44 ET|0.49|1.67|26.11|25.39|2.4|1.2|ATR1.5x|24.06|0.6038|0.725|2.94|1.45|5.88|0.4025|8.4525|57|11.44|2025-05-14:+11.44%; 2025-06-05:+10.81%; 2025-06-06:+9.46%|21|25.88,25.14,24.92,25.07,24.6,24.76,24.98,24.79,24.54,24.66|OPEN|daily_partial_close|daily_partial|2025-10-03|23.0|25.5|2.5|0.0|0.0|2.5|2.5|||23.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
MRNA|2025-09-05|24.99|2025-09-05 09:50:21 ET|2.9|3.36|28.59|26.79|2.28|1.14|ATR1.5x|23.41|1.5798|1.8025|7.21|3.605|14.43|1.0532|22.1175|37|35.06|2025-06-23:+35.06%; 2025-06-25:+27.14%; 2025-06-24:+26.9%|21|27.12,25.35,24.73,25.1,24.47,24.09,24.19,24.05,24.28,24.99|OPEN|daily_partial_close|daily_partial|2025-10-03|22.0|27.0|5.0|0.0|0.0|5.0|5.0|||22.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CZR|2025-09-05|26.47|2025-09-05 09:48:50 ET|2.8|3.01|27.45|26.96|2.0|1.0|PivotLow|25.98|0.49|0.49|1.85|0.98|3.7|0.9475|19.8975|86|24.04|2025-04-16:+24.04%; 2024-09-10:+23.02%; 2024-09-12:+21.85%|21|26.75,26.75,26.14,26.97,27.25,26.77,25.89,24.89,25.75,26.47|OPEN|daily_partial_close|daily_partial|2025-10-03|26.0|27.0|1.0|0.0|0.0|1.0|1.0|||26.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CNP|2025-09-05|37.76|2025-09-05 09:48:55 ET|0.8|1.7|39.25|38.5|4.03|2.01|PivotLow|37.39|0.37|0.745|1.97|1.49|3.95|0.5457|11.46|139|12.42|2024-11-01:+12.42%; 2024-10-30:+11.48%; 2024-11-04:+11.3%|21|38.05,37.7,37.7,37.73,37.48,37.71,37.94,37.62,37.46,37.76|OPEN|daily_partial_close|daily_partial|2025-10-17|37.0|38.0|1.0|0.0|0.0|1.0|1.0|||37.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CMG|2025-09-05|41.8|2025-09-05 09:48:58 ET|0.94|1.71|44.27|43.03|3.25|1.63|SwingLow21|41.04|0.76|1.235|2.95|2.47|5.91|0.7648|16.0605|64|16.29|2025-05-30:+16.29%; 2024-11-05:+16.09%; 2025-06-03:+13.98%|21|43.64,42.75,42.52,42.65,42.41,42.14,41.75,41.79,41.41,41.8|OPEN|daily_partial_close|daily_partial|2025-10-03|38.0|43.0|5.0|0.0|0.0|5.0|5.0|||38.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
TTD|2025-09-05|52.19|2025-09-05 09:51:13 ET|0.52|1.98|91.45|71.82|151.0|75.5|PivotLow|51.93|0.26|19.63|37.61|39.26|75.23|1.7362|36.4605|14|62.71|2025-04-14:+62.71%; 2025-04-21:+62.03%; 2025-04-10:+61.15%|21|53.2,52.37,52.22,52.65,55.36,54.66,54.18,53.77,51.92,52.19|OPEN|daily_partial_close|daily_partial|2025-10-03|66.0|71.0|5.0|0.0|0.0|5.0|5.0|||66.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
KO|2025-09-05|68.42|2025-09-05 09:49:05 ET|0.25|6.99|71.71|70.06|3.13|1.57|SwingLow21|67.37|1.05|1.645|2.4|3.29|4.81|0.9961|20.9175|46|15.49|2025-01-22:+15.49%; 2025-01-24:+15.46%; 2025-01-23:+14.72%|21|70.13,68.93,68.73,68.83,68.36,68.99,69.06,68.99,68.25,68.42|OPEN|daily_partial_close|daily_partial|2025-10-03|65.0|70.0|5.0|0.0|0.0|5.0|5.0|||65.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
NEE|2025-09-05|71.39|2025-09-05 09:50:33 ET|0.73|2.1|77.42|74.4|4.9|2.45|SwingLow21|70.16|1.23|3.015|4.22|6.03|8.45|1.49|31.29|37|15.04|2025-04-21:+15.04%; 2025-04-16:+14.26%; 2025-04-17:+11.39%|21|76.32,75.32,74.84,73.89,72.09,72.05,72.65,71.63,70.87,71.39|OPEN|daily_partial_close|daily_partial|2025-10-03|69.0|74.0|5.0|0.0|0.0|5.0|5.0|||69.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
FTNT|2025-09-05|77.85|2025-09-05 09:49:36 ET|1.84|2.41|97.59|87.72|6.93|3.46|PivotLow|75.0|2.85|9.87|12.68|19.74|25.36|2.15|45.15|30|26.48|2025-04-04:+26.48%; 2024-11-05:+26.36%; 2024-11-04:+24.54%|21|80.02,77.64,77.65,78.13,79.29,78.77,76.93,76.58,76.44,77.85|OPEN|daily_partial_close|daily_partial|2025-10-03|83.0|88.0|5.0|0.0|0.0|5.0|5.0|||83.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
